class_idx,glyph,train_freq,test_support,trf_f1,d4_f1,res_f1,delta,delta_vs_d4,present_in_test
118,R8,32,6,0.4444444444444444,0.5454545454545454,0.6,-0.15555555555555556,-0.101010101010101,True
119,S19,0,0,0.0,0.0,0.0,0.0,0.0,False
120,S21,0,0,0.0,0.0,0.0,0.0,0.0,False
121,S24,1,1,0.0,0.0,0.0,0.0,0.0,True
122,S27,0,0,0.0,0.0,0.0,0.0,0.0,False
123,S28,0,0,0.0,0.0,0.0,0.0,0.0,False
124,S29,161,34,0.9090909090909091,0.84375,0.4888888888888889,0.4202020202020202,0.06534090909090906,True
125,S3,0,0,0.0,0.0,0.0,0.0,0.0,False
126,S34,4,2,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.0,True
127,S38,0,0,0.0,0.0,0.0,0.0,0.0,False
128,S40,0,0,0.0,0.0,0.0,0.0,0.0,False
129,T21,1,1,0.0,0.0,0.0,0.0,0.0,True
130,T22,1,0,0.0,0.0,0.0,0.0,0.0,False
131,T28,2,0,0.0,0.0,0.0,0.0,0.0,False
132,U1,11,5,0.8888888888888888,0.8888888888888888,1.0,-0.11111111111111116,0.0,True
133,U15,6,3,0.5,0.5,0.5,0.0,0.0,True
134,U23,0,0,0.0,0.0,0.0,0.0,0.0,False
135,U33,9,2,0.0,0.0,0.4,-0.4,0.0,True
136,U6,0,0,0.0,0.0,0.0,0.0,0.0,False
137,U7,4,0,0.0,0.0,0.0,0.0,0.0,False
138,V1,0,0,0.0,0.0,0.0,0.0,0.0,False
139,V10,0,0,0.0,0.0,0.0,0.0,0.0,False
140,V13,49,12,0.7142857142857143,0.6923076923076923,0.5555555555555556,0.15873015873015872,0.02197802197802201,True
141,V20,0,0,0.0,0.0,0.0,0.0,0.0,False
142,V28,27,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,True
143,V29,0,0,0.0,0.0,0.0,0.0,0.0,False
144,V30,4,3,0.0,0.0,0.0,0.0,0.0,True
145,V31,85,19,0.7567567567567568,0.8,0.5384615384615384,0.21829521829521836,-0.043243243243243246,True
146,V4,9,1,0.6666666666666666,0.5,1.0,-0.33333333333333337,0.16666666666666663,True
147,V6,1,1,0.0,0.0,0.0,0.0,0.0,True
148,V7,4,0,0.0,0.0,0.0,0.0,0.0,False
149,W11,4,0,0.0,0.0,0.0,0.0,0.0,False
150,W14,0,1,0.0,0.0,0.0,0.0,0.0,True
151,W15,1,0,0.0,0.0,0.0,0.0,0.0,False
152,W17,0,0,0.0,0.0,0.0,0.0,0.0,False
153,W18,4,1,1.0,0.0,1.0,0.0,1.0,True
154,W19,2,0,0.0,0.0,0.0,0.0,0.0,False
155,W22,1,0,0.0,0.0,0.0,0.0,0.0,False
156,W23,0,0,0.0,0.0,0.0,0.0,0.0,False
157,W24,17,7,0.8333333333333334,0.8333333333333334,0.8571428571428571,-0.023809523809523725,0.0,True
158,W25,8,2,0.8,1.0,0.8,0.0,-0.19999999999999996,True
159,W5,0,0,0.0,0.0,0.0,0.0,0.0,False
160,X1,140,36,0.8378378378378378,0.7945205479452054,0.6551724137931034,0.1826654240447344,0.043317289892632393,True
161,X7,0,0,0.0,0.0,0.0,0.0,0.0,False
162,X8,4,1,0.0,1.0,1.0,-1.0,-1.0,True
163,Y1,0,1,0.0,0.0,0.4,-0.4,0.0,True
164,Y2,6,1,0.0,0.0,0.0,0.0,0.0,True
165,Y3,3,0,0.0,0.0,0.0,0.0,0.0,False
166,Y4,0,0,0.0,0.0,0.0,0.0,0.0,False
167,Y5,4,0,0.0,0.0,0.0,0.0,0.0,False
168,Z1,35,3,0.6666666666666666,0.8,0.19047619047619047,0.47619047619047616,-0.13333333333333341,True
169,Z11,9,1,0.3333333333333333,0.4,1.0,-0.6666666666666667,-0.06666666666666671,True
170,Z1B,0,0,0.0,0.0,0.0,0.0,0.0,False
171,Z2,0,0,0.0,0.0,0.0,0.0,0.0,False
172,Z3,0,0,0.0,0.0,0.0,0.0,0.0,False
173,Z4,0,0,0.0,0.0,0.0,0.0,0.0,False
174,Z7,3,0,0.0,0.0,0.0,0.0,0.0,False
175,Z9,0,0,0.0,0.0,0.0,0.0,0.0,False
